,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,structure,accuracy
0,0.0,0.0,0.0,"[31, 10, 5]",0.202300563454628
1,1.0,1.0,1.0,"[31, 20, 5]",0.1138492375612258
2,2.0,2.0,2.0,"[31, 30, 5]",0.0770863369107246
3,3.0,3.0,3.0,"[31, 30, 20, 5]",0.2015617042779922
4,4.0,4.0,4.0,"[31, 20, 20, 5]",0.2856725752353668
5,5.0,5.0,5.0,"[31, 40, 20, 5]",0.6493224501609802
6,6.0,6.0,6.0,"[31, 20, 20, 20, 5]",0.2276958227157592
7,7.0,7.0,7.0,"[31, 25, 15, 10, 5]",0.5366668105125427
8,8.0,8.0,8.0,"[31, 40, 20, 10, 5]",0.7332131266593933
9,9.0,9.0,9.0,"[31, 20, 20, 20, 20, 5]",0.3771987855434418
10,10.0,10.0,10.0,"[31, 50, 30, 20, 10, 5]",0.7280005812644958
11,11.0,11.0,11.0,"[31, 40, 30, 20, 10, 5]",0.7793811559677124
12,12.0,12.0,,"[31, 40, 35, 25, 15, 10, 5]",0.7483246326446533
13,13.0,13.0,,"[31, 60, 50, 40, 30, 20, 5]",0.646394670009613
14,14.0,14.0,,"[31, 50, 40, 30, 20, 10, 5]",0.7971193194389343
15,15.0,,,"[31, 50, 40, 35, 25, 15, 10, 5]",0.2717272639274597
16,16.0,,,"[31, 50, 60, 50, 40, 30, 20, 5]",0.3635696470737457
17,17.0,,,"[31, 60, 50, 40, 30, 20, 10, 5]",0.7763859629631042
18,,,,"[31, 60, 50, 40, 35, 25, 15, 10, 5]",0.720878541469574
19,,,,"[31, 40, 60, 70, 50, 40, 30, 20, 5]",0.44849735498428345
20,,,,"[31, 70, 60, 50, 40, 30, 20, 10, 5]",0.4349205493927002
