Country,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Argentina,1.1268666666666667,1.7848583333333332,0.38882500000000003,1.0125916666666666,4.646441666666667,1.0630583333333334,0.47596666666666665,0.565575,0.29129166666666667,0.7465666666666667,0.9084666666666666,1.481575,1.0083416666666667,1.4565166666666667,39.10783333333333,40.615808333333334,23.111275000000003,65.02974166666667,27.363675,13.734033333333334,3.9899166666666663,2.3263416666666665,1.5768833333333336,2.2974,2.4567416666666664,0.9183916666666666,0.7380833333333334,0.8573833333333334,2.6622083333333335,1.186225,4.190733333333333,2.1382499999999998,6.719533333333334,6.095175000000001,5.843725,12.044049999999999,14.019516666666668,6.724783333333334,12.640591666666667,53.21935,37.928425,42.579025,52.86476666666667,36.229350000000004,52.87209166666667,64.08134166666666,14.287891666666667,11.816916666666666,11.960416666666667,4.693158333333334,7.8725,10.560875000000001,3.6385916666666667,2.2374750000000003,2.4166416666666666,5.449316666666667,3.358541666666667,3.5134666666666665,6.028366666666667,6.8635166666666665,9.501291666666667,8.904441666666667,21.532124999999997,6.11005,4.0191,5.127725,3.9651666666666667,7.79835,2.682575,3.3002416666666665,4.884283333333333,2.91025,4.328783333333333,4.403075,6.613458333333334,12.579733333333335,7.478091666666667,4.996283333333333,6.4225916666666665,4.526541666666667,9.328325000000001,9.742075,103.39671666666668,10.890058333333334,6.47965,3.7327250000000003,5.297008333333333,4.20955,2.612475,2.849558333333334,4.7626083333333336,2.820733333333333,3.3461833333333337,3.16,5.692383333333333,2.9647666666666663,0.6973833333333334,1.1041916666666667,1.267875,1.2275166666666668,1.168575,6.369924999999999,4.723508333333333,4.946925,2.286475,1.494625,2.098325,1.5991333333333333,1.50645,1.5516083333333335,0.9923500000000001,1.3244583333333333,1.064325,1.1741416666666666,0.9589916666666666,1.321275,2.1752333333333334,0.8591916666666667,3.2299249999999997,2.3766000000000003,1.51065,0.48361666666666664,4.127283333333334,3.034091666666667
Australia,5.966008333333334,1.2615083333333332,1.2279499999999999,0.8754000000000001,2.1874083333333334,1.0122166666666665,0.5623250000000001,0.6100666666666666,0.30345833333333333,0.37014166666666665,0.4540416666666667,1.155,1.2874,0.6888500000000001,30.287833333333335,49.794608333333336,42.84549166666667,51.34670833333333,144.18553333333332,25.284891666666667,3.978658333333333,3.3977000000000004,1.7705916666666666,1.447875,1.5571666666666666,1.1644916666666667,0.7157916666666667,0.7858333333333333,0.883625,0.8501,1.0745666666666667,1.0959333333333334,1.4439416666666667,1.0254583333333334,1.7211916666666667,5.720891666666668,3.694591666666667,5.054208333333333,10.083675000000001,64.85471666666666,41.719175,117.12151666666666,430.28360833333335,338.4771416666667,142.26330833333333,118.7007,34.342533333333336,15.238233333333334,9.495075,6.461875,46.540975,49.87175,24.002908333333334,15.608641666666665,12.086091666666668,6.239833333333333,16.014441666666666,11.424858333333333,11.150875000000001,4.408283333333333,3.8308916666666666,12.306966666666668,14.199075,11.937533333333334,7.3386000000000005,14.804091666666666,15.265883333333333,14.666733333333333,7.891541666666668,7.2264333333333335,6.686975,8.720474999999999,5.667591666666667,6.719966666666667,3.3139000000000003,7.922608333333334,2.4423583333333334,2.5033833333333333,2.8180333333333336,5.198033333333334,8.248908333333334,3.813333333333333,15.820075000000001,3.726041666666667,3.0673333333333335,6.661983333333333,4.158141666666666,3.3220666666666667,1.7487166666666667,2.9653500000000004,7.270666666666667,5.654508333333333,1.7602833333333334,3.1076416666666664,2.3971750000000003,3.0805833333333332,1.987125,1.5761666666666667,2.9993166666666666,3.430858333333333,1.5272416666666666,13.865466666666668,8.944016666666666,22.327716666666664,9.83195,6.27375,6.153875,6.411316666666667,3.936716666666667,3.4797666666666665,5.699141666666667,4.043241666666667,3.083416666666667,3.0567333333333337,9.074683333333333,6.892525,6.0347583333333334,10.753775,4.3730166666666666,7.705191666666667,8.266266666666667,6.2375,28.370674999999995,16.934116666666664
Belgium,6.355308333333333,1.9684416666666669,2.2345833333333336,2.3248666666666664,1.5729499999999998,1.0104583333333332,1.2139333333333333,0.2711166666666667,0.23318333333333333,0.660925,0.5231833333333333,2.2480583333333333,2.001158333333333,1.885925,472.26805833333333,291.769075,184.47433333333333,373.35274166666665,412.0459416666667,84.6298,16.5244,9.696166666666667,6.588383333333333,14.894483333333334,5.594166666666666,4.5996500000000005,2.8174083333333333,3.035675,2.0025083333333336,2.521725,2.6793750000000003,2.8752583333333335,3.502291666666667,2.9264000000000006,3.2638833333333337,13.731158333333333,21.731783333333336,16.30265,22.62784166666667,141.14758333333333,179.12048333333334,67.04041666666667,68.08054166666666,98.35438333333333,226.54847500000002,116.08839166666667,15.285458333333333,10.443291666666667,34.013308333333335,12.076808333333334,27.313366666666667,25.943175,10.953225000000002,8.489916666666668,11.980141666666668,5.0770583333333335,10.114366666666667,8.891875,6.392391666666666,5.868591666666667,18.031758333333332,29.116675,18.517975,24.789283333333334,17.849,5.592175,5.946116666666666,14.45265,7.004041666666667,7.652241666666666,5.897516666666667,5.21015,5.616491666666666,8.608849999999999,7.377533333333333,9.307591666666667,5.905491666666666,7.438958333333335,17.121891666666667,9.980391666666668,13.689891666666668,15.522574999999998,24.377858333333336,13.330158333333335,9.165508333333333,10.351825,9.473533333333334,9.308566666666666,5.768108333333333,8.575416666666667,18.580583333333333,14.717691666666667,8.986316666666667,12.353466666666668,11.602925,6.880058333333333,2.8718166666666662,1.6620416666666669,2.1893333333333334,11.233075000000001,2.0789416666666667,15.945174999999999,5.745833333333334,13.273916666666667,7.3994,6.125558333333333,6.338266666666667,4.927275,3.9272416666666667,4.165391666666667,4.305208333333334,7.57045,4.525441666666667,4.690958333333334,13.0388,18.242233333333335,27.503716666666666,14.066933333333333,11.563283333333333,8.204208333333334,6.448125,7.648408333333333,47.53640833333333,19.355641666666667
Brazil,1.4834500000000002,1.3964916666666667,0.9628,1.6981833333333334,1.1869416666666666,0.803425,1.3110916666666668,0.6488416666666666,0.6028166666666667,0.378325,1.1812666666666667,1.8061333333333334,0.714725,1.5244166666666665,33.609975,32.922075,15.878100000000002,59.6128,21.642583333333334,7.085091666666667,3.8949083333333334,1.6241583333333331,1.5588499999999998,1.677266666666667,3.5932083333333336,0.76415,1.0164833333333334,0.6130083333333333,1.4204583333333332,0.9001833333333334,7.067141666666667,1.411875,7.959483333333334,5.8664916666666675,2.9004166666666666,6.640408333333334,5.379741666666667,4.597108333333334,9.139458333333334,43.311508333333336,32.061658333333334,47.154149999999994,90.25372499999999,39.25285,40.43494166666667,34.282491666666665,16.840408333333333,12.802833333333334,5.989975,2.8878833333333334,7.9160416666666675,10.163541666666667,4.123266666666667,2.7489666666666666,4.14155,3.612508333333333,3.297241666666667,3.9784833333333336,3.560166666666667,4.073875,4.974083333333334,14.885416666666666,28.771058333333333,13.966483333333334,8.735625,10.679283333333332,5.030375,7.292166666666667,6.117916666666667,4.0135499999999995,7.621808333333334,3.3926166666666666,2.4757166666666666,2.6762083333333333,3.1774833333333334,5.857241666666667,5.984983333333333,6.549766666666667,4.2102416666666675,3.9025083333333335,5.975108333333334,7.21225,11.500416666666666,4.159883333333333,4.164091666666667,4.056141666666667,3.93905,3.369775,2.8415083333333335,4.307516666666667,6.2191,6.3327,3.681283333333333,2.6982666666666666,3.841416666666667,1.9585,0.9874833333333334,0.9359583333333333,1.8078333333333336,1.500775,1.3808833333333332,8.947125,4.486383333333333,5.936775,7.494666666666666,4.477775,4.128216666666667,2.9382249999999996,2.617391666666667,3.276075,7.582091666666667,4.187816666666667,1.76955,2.750208333333333,2.901766666666667,3.9224833333333335,3.7516416666666665,3.019816666666667,2.9272833333333335,7.337266666666667,3.734541666666667,3.119033333333333,11.830449999999999,9.96785
Canada,7.087533333333333,3.5133666666666667,2.7059833333333336,2.832758333333334,5.2172,2.1972583333333335,2.1117916666666665,0.8762249999999999,1.0238083333333334,1.5453583333333334,1.7077166666666665,4.904800000000001,4.160308333333334,4.044666666666667,116.65101666666668,99.79755,88.57774166666667,158.25223333333332,196.485375,37.765125000000005,9.056466666666667,4.868825,3.73755,3.3780583333333336,2.7910083333333335,2.2594333333333334,1.3091583333333334,2.353283333333333,1.836566666666667,2.471833333333333,2.406816666666667,2.1890833333333335,3.4429916666666665,2.66005,3.3082083333333334,14.276958333333333,7.450408333333333,10.779316666666666,26.379175,158.62859166666667,118.57771666666667,114.18611666666668,129.23639166666666,220.007825,300.7526,148.76064166666666,32.82385,14.184116666666666,20.432533333333335,19.384241666666668,46.632825,51.407966666666674,19.042316666666668,15.434425,16.047175,15.229433333333333,23.999275,30.910683333333335,26.266733333333335,10.093016666666665,15.576341666666666,26.732591666666668,24.97985833333333,35.123,15.860616666666667,14.0064,10.37575,20.442558333333334,9.866708333333333,9.917883333333334,14.682241666666668,9.384458333333333,8.472825,9.931116666666666,5.890683333333333,8.078691666666668,9.167975,7.937358333333333,10.913874999999999,8.850816666666667,14.022450000000001,17.975716666666667,20.151149999999998,15.692883333333334,7.874466666666667,10.4991,15.507283333333334,8.97575,6.231475,6.9180583333333345,21.671200000000002,20.277,8.421741666666668,18.255158333333334,15.039075000000002,7.124175,4.94295,2.7508416666666666,4.386575,6.703933333333334,4.3041,33.48668333333334,17.400975,28.828883333333334,16.047,7.7540000000000004,12.999183333333333,7.060866666666667,5.8667083333333325,7.177325000000001,8.619441666666667,7.998525,3.5029416666666666,5.394058333333334,8.881783333333333,9.378291666666668,9.29565,9.6362,11.710683333333334,11.450858333333334,9.48815,5.935741666666666,35.609975,23.315408333333334
Switzerland,2.4317333333333333,0.5337666666666666,0.9414999999999999,0.9345249999999999,1.2387166666666667,1.3567916666666668,0.6957333333333332,0.6067416666666666,0.1734,0.44239999999999996,0.133625,2.6683083333333335,2.3011166666666667,0.8056166666666668,109.33260000000001,105.26425833333333,71.29234166666667,121.15563333333334,172.93618333333333,37.58261666666667,8.537891666666667,5.989108333333333,2.566816666666667,3.2900416666666668,1.4623916666666668,1.9643000000000004,1.356375,1.6953666666666667,0.97805,1.2783833333333334,1.5791833333333336,1.9712166666666668,3.8235833333333336,3.536491666666667,3.140625,16.339708333333334,7.380208333333333,7.3736,22.047025,93.48761666666667,75.08817499999999,74.37088333333334,85.207325,165.6065416666667,164.921075,54.4434,9.954524999999999,6.69925,6.9166,4.7977083333333335,9.084425000000001,9.512658333333333,6.955966666666666,9.797675,6.901366666666667,8.054141666666666,10.545291666666666,4.051825,8.484491666666667,4.831733333333333,3.940725,12.664183333333334,17.258025,8.225383333333335,4.6969,4.13,3.1001666666666665,8.032675,6.296508333333333,6.552941666666666,20.131566666666664,3.4849833333333335,3.3143833333333332,3.2888333333333333,2.8913333333333333,3.211983333333333,4.391233333333333,3.318975,5.10945,3.5909333333333335,12.126624999999999,5.590608333333333,12.228008333333333,6.754341666666666,6.372041666666667,11.106525,8.034,5.385725,4.548825,2.825875,7.404633333333333,10.907375000000002,3.4468666666666667,4.011666666666667,2.761725,1.4066083333333335,1.5370083333333333,0.9823583333333333,2.17225,2.5323583333333333,1.5426416666666667,13.155733333333332,5.629458333333333,9.582533333333332,6.096725,1.5338166666666666,3.295275,3.2457583333333333,2.1862416666666666,2.4071166666666666,2.851141666666667,2.2984416666666667,1.915425,3.10415,4.507750000000001,12.936266666666667,5.275183333333334,2.6218,2.9714333333333336,2.3308166666666668,3.207883333333333,2.4964666666666666,8.3496,4.016116666666667
Chile,1.5170833333333336,1.9602666666666664,0.5142916666666667,0.9182916666666666,1.890958333333333,1.3135333333333332,0.47500000000000003,0.16704166666666667,0.324425,0.5673916666666666,0.4237166666666667,0.47618333333333335,0.24739166666666668,0.6619583333333334,30.588758333333335,30.15919166666667,16.111349999999998,28.4843,14.611608333333335,7.196758333333334,4.322966666666667,1.7269416666666666,1.1205666666666667,2.077341666666667,0.549825,0.9268583333333332,0.565175,1.0284833333333332,1.5574666666666668,0.9236749999999999,1.2906000000000002,1.620775,5.080533333333333,4.332633333333334,3.0432166666666665,4.718316666666667,5.353683333333334,2.5986,5.5914166666666665,27.197774999999996,16.864525,23.833825,39.35215,17.920191666666668,14.653025,13.5864,5.17635,2.8622416666666664,5.2017500000000005,2.1359916666666665,4.224383333333333,6.127616666666667,2.456175,1.3178083333333332,1.2957750000000001,2.56155,1.30115,1.01665,1.1235833333333334,2.070175,3.373583333333334,4.940466666666667,12.121175,5.870066666666667,4.9069,3.4907166666666662,2.786275,3.1969250000000002,1.8969833333333332,2.256225,6.503633333333333,6.686983333333333,4.00265,6.796499999999999,3.9066083333333332,5.6655500000000005,4.677116666666667,3.4018750000000004,5.763933333333334,3.4442749999999998,3.07395,6.474708333333333,7.395933333333333,5.559875000000001,5.607491666666667,3.990275,4.14405,3.1808083333333332,1.680975,1.6902833333333334,2.7241750000000002,2.517116666666667,0.9319083333333333,1.2526,2.1321166666666667,1.5554833333333333,0.7387916666666667,0.84495,0.886225,1.003975,0.769075,2.780708333333333,1.9578833333333334,8.848858333333334,3.583841666666667,0.97065,1.2049083333333332,0.9090583333333333,0.7186499999999999,0.5098250000000001,2.269275,0.9231916666666667,0.33755833333333335,0.3534833333333333,0.610675,1.1932166666666666,1.1798416666666667,1.236275,1.1644916666666667,2.0643499999999997,0.9862083333333334,0.3930916666666667,2.68735,1.4841583333333335
China,73.49751666666667,11.122974999999999,5.004133333333333,8.9791,56.95291666666666,15.550125,4.3110083333333336,3.5418,2.678983333333333,1.9589916666666667,1.7695333333333334,14.5075,6.9737,7.1016916666666665,102.61315,82.30036666666666,66.70521666666667,93.39120833333334,94.33321666666666,66.47898333333333,14.804458333333335,14.784741666666667,13.297333333333334,8.204600000000001,10.452525,7.379366666666667,6.101375,17.748891666666665,5.747208333333333,14.648575000000001,9.534683333333334,19.635508333333334,52.100449999999995,24.524525,8.039325,23.937116666666668,30.138208333333335,91.38215833333334,78.39186666666667,141.84815,113.50281666666666,243.22312499999998,331.35491666666667,352.0625416666667,639.1764916666667,390.68552500000004,87.38402500000001,38.489891666666665,46.66549166666667,38.951625,217.28430000000003,302.9549666666667,118.08126666666668,137.573725,88.44256666666666,71.25496666666666,42.43271666666667,31.891591666666667,80.70578333333333,30.01405,40.291266666666665,66.1464,102.33018333333332,104.37213333333334,76.79275833333334,113.224675,84.81624166666667,108.59311666666667,55.40734166666667,49.81894166666667,49.49541666666667,54.951966666666664,57.49314999999999,31.328883333333334,17.463766666666668,28.759091666666666,18.834225,16.838091666666667,28.598891666666663,44.769733333333335,43.4495,25.544983333333334,27.726249999999997,20.218725000000003,16.372625,14.751775,11.570766666666666,18.07003333333333,14.328941666666665,24.19505,30.587325000000003,30.667424999999998,19.50635,22.236766666666668,25.78418333333333,16.459691666666668,15.566033333333335,8.257308333333333,18.744183333333336,26.9164,13.461950000000002,50.023975,33.04101666666667,74.53540833333334,36.87198333333333,31.990591666666663,47.65436666666667,34.57973333333333,24.83621666666667,28.527108333333334,36.383516666666665,29.345174999999998,38.972225,31.755525000000002,32.326525,47.29156666666666,39.913866666666664,73.06519999999999,48.30554166666667,51.082741666666664,50.98229166666667,33.03075833333333,132.65540000000001,101.26011666666666
Colombia,2.3602666666666665,7.248433333333334,5.829766666666667,12.058783333333333,6.625825,1.5830416666666667,0.5516833333333332,0.17755833333333335,0.40001666666666663,0.5667833333333333,0.19394999999999998,0.6011583333333334,0.7898833333333334,1.3351166666666667,8.66505,5.500016666666667,7.079425,12.946066666666667,2.640816666666667,3.036891666666667,0.6945333333333333,0.96355,0.16403333333333334,0.14838333333333334,0.254025,0.12588333333333335,0.18625833333333333,0.4569666666666667,0.9089083333333333,0.8711166666666667,0.6437833333333334,0.9368083333333334,2.999541666666667,5.77485,1.2965833333333332,2.8123583333333335,1.8418583333333334,1.5709666666666668,3.788358333333333,14.875658333333334,11.844783333333334,17.45244166666667,17.888583333333333,7.515716666666667,8.0562,6.066983333333333,2.767716666666667,5.938575,14.860433333333333,2.4690333333333334,3.0183416666666667,7.256008333333334,2.375166666666667,3.0367499999999996,2.6652583333333335,0.7393666666666667,2.3225166666666666,2.4515249999999997,4.282775,1.6661083333333335,3.817833333333333,7.11395,6.2455,5.693716666666667,2.944983333333333,2.924533333333333,1.6264416666666666,4.223483333333333,1.7408083333333335,1.5980916666666667,2.075091666666667,1.5003250000000001,0.6861333333333333,0.8716499999999999,1.371075,1.2354833333333335,1.4422,1.5397416666666668,1.656975,2.345225,5.420283333333334,4.451125,8.056308333333332,9.0422,6.086116666666666,5.497666666666667,5.751833333333334,1.3861416666666668,3.0565916666666673,8.147775000000001,8.877533333333334,8.724675,3.3160583333333338,2.9431833333333333,2.3039083333333337,1.5671000000000002,2.8026,1.564675,2.3373,3.822641666666667,3.7165916666666665,9.801666666666668,11.872,11.394449999999999,5.125916666666667,3.3683416666666672,2.3600833333333333,3.534966666666667,4.98885,2.5483583333333333,4.457833333333333,1.391325,2.384516666666667,1.4558583333333335,0.953125,2.6804166666666664,3.0786916666666664,2.5017333333333336,1.6317500000000003,6.809291666666667,2.6811833333333333,1.5342166666666666,4.8111500000000005,3.4310833333333335
Germany,47.113975,13.714066666666668,15.841108333333333,20.9007,40.20024166666666,24.44881666666667,11.079633333333334,7.676950000000001,9.804525,6.575441666666666,4.759133333333334,25.40915,26.26718333333333,16.70795,1417.0028833333333,1695.781291666667,1355.8516,2048.8615,2881.2797083333335,483.549125,123.79656666666666,70.493525,32.28064166666667,49.85015833333333,21.981825,19.311566666666668,12.765558333333333,14.714716666666666,11.018591666666666,12.851108333333334,13.209433333333335,16.479441666666666,26.892108333333336,29.298941666666668,26.248183333333333,73.42615,96.82985833333333,79.22533333333332,199.59805000000003,991.9629916666667,841.6836666666667,1129.5992416666666,1295.3773416666666,1922.429,2513.2803833333332,874.2310666666666,121.29115833333333,71.31116666666667,130.05658333333335,61.490424999999995,126.27140833333334,114.53053333333332,56.381575,61.71093333333334,57.98239166666667,50.41253333333333,57.56041666666667,65.384175,72.10950833333334,79.70889166666666,49.00874166666667,207.60066666666663,134.558525,122.36858333333333,43.058425,47.042091666666664,40.60653333333334,55.5542,43.675175,30.1992,40.89658333333333,21.10575,31.92109166666667,23.7663,16.265108333333334,25.580358333333333,21.859166666666667,31.971858333333333,39.93351666666667,32.94105833333334,58.625825,76.01569166666667,93.40169166666668,70.89806666666667,30.573016666666664,35.89913333333333,51.23533333333334,37.193549999999995,19.677991666666667,34.02654166666667,63.87054166666667,71.96778333333334,26.538558333333338,27.298125,31.028533333333332,24.531983333333333,10.012858333333334,4.2501,9.450258333333334,19.550083333333333,6.649333333333334,58.140383333333325,30.667125,83.676075,36.82149166666667,23.6649,30.7687,21.437849999999997,16.370066666666666,12.667341666666667,19.227808333333332,18.642,15.488416666666666,17.764033333333334,40.717324999999995,52.426433333333335,36.54056666666667,37.67175833333334,25.404425,23.443408333333334,25.5771,20.747158333333335,125.27815,61.963125
